Source_Module,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
blue,BP,GO:0051960,regulation of nervous system development,59/1269,468/18888,0.126068376,1.876421976,5.152441217,2.20061E-06,0.000500708,0.000425569,LRP2/PLXNB2/TENM4/STAU2/FLRT3/NEURL1/DYNLT1/IFNG/ID2/EPHA4/SLITRK6/NLGN3/ASPA/TG/MME/MAG/SLITRK2/PITX3/HES1/NRXN1/TBC1D24/IL1RAP/EGFR/CX3CL1/PAFAH1B1/OLIG2/FEZF2/SEMA3F/TRIM32/CHODL/XRCC2/MTOR/NRP1/HDAC1/ITGAX/DLG5/TLR2/L1CAM/IL34/SLITRK5/RB1/NOTCH1/SEMA6B/F2/TNFRSF21/TREM2/SEMA4D/PTPRS/TP53/AMIGO2/DRAXIN/SLITRK4/FMR1/EPHB2/CTNNB1/MYRF/FSTL4/CDKN2B/LRRC24,59
blue,BP,GO:0002286,T cell activation involved in immune response,24/1269,124/18888,0.193548387,2.880805308,5.639149983,2.2381E-06,0.000500708,0.000425569,RELB/BCL6/IFNL1/IFNG/IL6R/PCK1/FGL2/FOXP3/FCGR2B/IFNE/HMGB1/TNFSF18/JAK1/LGALS3/MTOR/BCL3/LY9/NFKBIZ/LILRB1/TP53/IFNA5/IFNA14/IFNB1/CLEC4D,24
blue,BP,GO:0002697,regulation of immune effector process,51/1269,385/18888,0.132467532,1.971668048,5.169504118,2.57058E-06,0.000552971,0.000469989,PGLYRP3/CLC/DNAJB9/CARD9/CD59/ITGB2/HK1/BCL6/IFNL1/HPX/IFNG/STAT5B/TICAM2/PCK1/SH2D1B/RAET1G/FGL2/HLA-G/SIRT1/CD28/FOXP3/FCGR2B/MAD2L2/LACC1/HMGB1/ENPP3/LEP/C3/IL1R1/NCR3/LGALS3/LBP/RASGRP1/A2M/HFE/CADM1/HLA-A/AP1G1/ZP3/NFKBIZ/TREX1/TNFRSF4/CD55/IL7R/LILRB1/TREM2/IFNB1/S100A9/CRTAM/EPHB2/BST2,51
blue,BP,GO:1903131,mononuclear cell differentiation,60/1269,484/18888,0.123966942,1.845143895,5.054973705,3.11897E-06,0.000646089,0.000549133,MYC/PGLYRP3/CSF1/DNAJB9/DTX1/RELB/HMGB3/BCL6/IFNL1/PRDM1/IFNG/ID2/CD8A/IL6R/STAT5B/UBD/PCK1/CD3E/FGL2/HLA-G/ADA/LY6D/HHEX/CD28/FOXP3/ZC3H8/FCGR2B/IFNE/HMGB1/LEP/LTBR/JAK1/BATF2/SLC39A7/TMEM176A/MTOR/DNAJA3/RASGRP1/BCL3/LY9/GPR89B/EGR3/NFKBIZ/ZAP70/IL34/IL7R/LILRB1/TREM2/TP53/IFNA5/IFNA14/IFNB1/CLEC4D/ITM2A/CRTAM/NOTCH2/CTNNB1/ADAM17/PSG9/ARMC5,60
blue,BP,GO:0022602,ovulation cycle process,14/1269,50/18888,0.28,4.167565012,6.018867967,3.37335E-06,0.000673826,0.000572708,PLEKHA1/CGA/LHCGR/STAT5B/SIRT1/LEP/A2M/ZP3/MMP2/CASP2/AMH/TNFAIP6/NOTCH1/PTX3,14
blue,BP,GO:0050670,regulation of lymphocyte proliferation,36/1269,237/18888,0.151898734,2.260885178,5.242281343,3.55567E-06,0.000685755,0.000582847,CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/CD6/CD28/FOXP3/HES1/FCGR2B/IGFBP2/HMGB1/LEP/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/HLA-A/ZP3/CD276/DLG5/TNFRSF4/ZAP70/BST1/CD55/LILRB1/PRLR/TNFRSF21/PRNP/CRTAM/EPHB2/CTNNB1,36
blue,BP,GO:0032946,positive regulation of mononuclear cell proliferation,26/1269,146/18888,0.178082192,2.65060397,5.373200172,4.36739E-06,0.000790472,0.000671849,CSF1/CD38/BCL6/STAT5B/CD3E/ADA/CD6/CD28/FOXP3/HES1/IGFBP2/HMGB1/LEP/SLC7A1/PDCD1LG2/DNAJA3/HLA-A/ZP3/CD276/TNFRSF4/ZAP70/BST1/CD55/PRLR/ST6GAL1/EPHB2,26
blue,BP,GO:0070665,positive regulation of leukocyte proliferation,28/1269,164/18888,0.170731707,2.541198178,5.319891417,4.44573E-06,0.000790472,0.000671849,CSF1/CD38/BCL6/STAT5B/CD3E/ADA/CD6/CD28/FOXP3/HES1/IGFBP2/HMGB1/LEP/SLC7A1/PDCD1LG2/DNAJA3/HLA-A/ZP3/CD276/TNFRSF4/ZAP70/BST1/IL34/CD55/PRLR/ST6GAL1/EPHB2/BST2,28
blue,BP,GO:0018108,peptidyl-tyrosine phosphorylation,39/1269,269/18888,0.144981413,2.157926652,5.133347774,4.52263E-06,0.000790472,0.000671849,CLK2/ITGB2/FGFR3/IFNL1/FGF7/HPX/FGF8/IFNG/IL6R/EPHA4/CD3E/EFNA1/HES1/LEP/CADM4/EGFR/SOCS4/TNFSF18/JAK1/PLPP3/MTOR/NRP1/NOX4/ZAP70/BST1/IL34/PRLR/TREM2/SEMA4D/TP53/PRNP/SFRP2/DDR2/EPHB2/FLT1/VTN/BMP6/PKDCC/ADAM17,39
blue,BP,GO:0002366,leukocyte activation involved in immune response,42/1269,301/18888,0.139534884,2.07685964,5.054280868,5.29769E-06,0.000865603,0.000735706,PTGDS/PGLYRP3/RELB/ITGB2/BCL6/IFNL1/IFNG/IL6R/PCK1/SH2D1B/FGL2/ADA/CD28/FOXP3/FCGR2B/MAD2L2/IFNE/HMGB1/ENPP3/TNFSF18/JAK1/LGALS3/LBP/MTOR/RASGRP1/BCL3/LY9/SLC18A2/AP1G1/NFKBIZ/TREX1/LILRB1/TREM2/TP53/IFNA5/IFNA14/IFNB1/CLEC4D/ITM2A/NOTCH2/CHGA/FCER1A,42
blue,BP,GO:0070371,ERK1 and ERK2 cascade,45/1269,332/18888,0.135542169,2.017431428,5.019421678,5.39274E-06,0.000865603,0.000735706,MYC/CARD9/FGFR3/CCL1/FGF8/GLIPR2/EPHA4/FGB/RAP1A/MARCO/CIB1/LMO3/HMGB1/CCL2/EGFR/CCL3L1/CX3CL1/DUSP5/MAP2K7/ARHGAP8/APIP/SPRY2/RASGRP1/NRP1/DUSP9/SLC30A10/ACTA2/CDK1/GNAI2/F2R/NOX4/SPRED2/FGF23/TF/NOTCH1/HMGCR/TREM2/NPNT/FBLN1/GCNT2/NDRG4/EPHB2/NOTCH2/ADCYAP1/ROS1,45
blue,BP,GO:0018212,peptidyl-tyrosine modification,39/1269,271/18888,0.143911439,2.142000994,5.081804478,5.41679E-06,0.000865603,0.000735706,CLK2/ITGB2/FGFR3/IFNL1/FGF7/HPX/FGF8/IFNG/IL6R/EPHA4/CD3E/EFNA1/HES1/LEP/CADM4/EGFR/SOCS4/TNFSF18/JAK1/PLPP3/MTOR/NRP1/NOX4/ZAP70/BST1/IL34/PRLR/TREM2/SEMA4D/TP53/PRNP/SFRP2/DDR2/EPHB2/FLT1/VTN/BMP6/PKDCC/ADAM17,39
blue,BP,GO:0048713,regulation of oligodendrocyte differentiation,13/1269,46/18888,0.282608696,4.206393257,5.84324204,6.72825E-06,0.001032605,0.000877647,TENM4/ASPA/HES1/OLIG2/WDR1/MTOR/HDAC1/TLR2/IL34/NOTCH1/TNFRSF21/CTNNB1/MYRF,13
blue,BP,GO:0007623,circadian rhythm,32/1269,205/18888,0.156097561,2.323381191,5.112817075,6.83111E-06,0.001032605,0.000877647,PTGDS/PARP1/RELB/ATG7/NR1D2/ID2/SIRT1/USP2/ATF5/HOMER1/LEP/EGFR/AGRP/SOX14/HNRNPU/SFPQ/KCNA2/KLF10/FBXW11/MTOR/CIPC/CRY2/NR2F6/CDK1/CLDN4/HDAC1/EGR3/ADCY1/CLOCK/TP53/ID1/NMS,32
blue,BP,GO:0051963,regulation of synapse assembly,22/1269,115/18888,0.191304348,2.847404666,5.332928854,7.12735E-06,0.001049034,0.00089161,RAB17/STAU2/SNAP25/FLRT3/SLITRK6/NLGN3/SLITRK2/NRXN1/IL1RAP/DLG5/TLR2/SLITRK5/SEMA4D/PTPRS/LRFN5/AMIGO2/SLITRK4/LRFN1/EPHB2/ICAM5/CTNNB1/LRRC24,22
blue,BP,GO:0002263,cell activation involved in immune response,42/1269,305/18888,0.137704918,2.049622137,4.959600113,7.3955E-06,0.001060591,0.000901433,PTGDS/PGLYRP3/RELB/ITGB2/BCL6/IFNL1/IFNG/IL6R/PCK1/SH2D1B/FGL2/ADA/CD28/FOXP3/FCGR2B/MAD2L2/IFNE/HMGB1/ENPP3/TNFSF18/JAK1/LGALS3/LBP/MTOR/RASGRP1/BCL3/LY9/SLC18A2/AP1G1/NFKBIZ/TREX1/LILRB1/TREM2/TP53/IFNA5/IFNA14/IFNB1/CLEC4D/ITM2A/NOTCH2/CHGA/FCER1A,42
blue,BP,GO:0050867,positive regulation of cell activation,49/1269,380/18888,0.128947368,1.919273361,4.85823369,8.50642E-06,0.001189411,0.001010921,CD38/BCL6/EFNB2/IFNG/DPP4/STAT5B/TICAM2/PCK1/CD3E/HLA-G/ADA/CD6/CD28/FOXP3/HES1/IGFBP2/MAD2L2/HMGB1/LEP/CCL2/SLC7A1/PDCD1LG2/LBP/TNIP2/HLA-DOB/MTOR/DNAJA3/RASGRP1/ACTA2/HLA-A/FLOT2/EGR3/ZP3/CD276/NFKBIZ/TNFRSF4/ZAP70/BST1/GP1BA/CD55/IL7R/LILRB1/PRLR/TREM2/TNFSF14/CLEC4D/DDR2/EPHB2/SIRPG,49
blue,BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,39/1269,277/18888,0.140794224,2.095603861,4.929810863,9.17191E-06,0.001251183,0.001063423,ITGB2/BCL6/EFNB2/IFNG/DPP4/STAT5B/PCK1/CD3E/HLA-G/ADA/CD6/CD28/FOXP3/HES1/IGFBP2/HMGB1/LEP/CCL2/SLC7A1/PDCD1LG2/ST3GAL4/HLA-DOB/MTOR/DNAJA3/RASGRP1/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/NFKBIZ/ZAP70/GP1BA/CD55/IL7R/LILRB1/TNFSF14/SIRPG,39
blue,BP,GO:0007259,receptor signaling pathway via JAK-STAT,28/1269,174/18888,0.16091954,2.395152306,4.96174689,1.41232E-05,0.00188074,0.001598506,IL10RA/FGFR3/IFNL1/HPX/IFNG/IL6R/STAT5B/OCIAD1/STAT5A/HES1/IFNE/LEP/CCL2/TNFSF18/JAK1/STAT2/BCL3/F2R/MST1/IL7R/NOTCH1/PRLR/F2/IFNAR1/IFNA5/IFNA14/IFNB1/EPHB2,28
blue,BP,GO:0014013,regulation of gliogenesis,21/1269,112/18888,0.1875,2.790780142,5.10118902,1.57706E-05,0.002051276,0.001743451,LRP2/TENM4/ID2/ASPA/MAG/PITX3/HES1/EGFR/OLIG2/MTOR/HDAC1/TLR2/IL34/RB1/NOTCH1/F2/TREM2/TP53/CTNNB1/MYRF/CDKN2B,21
blue,BP,GO:0070374,positive regulation of ERK1 and ERK2 cascade,32/1269,215/18888,0.148837209,2.21531695,4.809760039,1.85177E-05,0.002353854,0.002000622,CARD9/FGFR3/CCL1/FGF8/GLIPR2/FGB/RAP1A/MARCO/CIB1/HMGB1/CCL2/EGFR/CCL3L1/CX3CL1/MAP2K7/ARHGAP8/SPRY2/RASGRP1/NRP1/SLC30A10/ACTA2/GNAI2/F2R/NOX4/FGF23/NOTCH1/TREM2/NPNT/GCNT2/NDRG4/NOTCH2/ADCYAP1,32
